ARocketLogger CSV File
File Version,3
Block Size,1
Block Count,1785059             
Sample Count,1785059             
Sample Rate,1
MAC Address,98:5d:ad:b2:2e:9d
Start Time,Wed Mar 10 03:16:18 2021
Comment,

,I1L_valid,I2L_valid,I1H [nA],I1L [10pA],V1 [10nV],V2 [10nV],I2H [nA],I2L [10pA]
1615674582.893158631,1,1,-45260,1015302,-1230774,25803541,127849,274751
1615674583.896693867,1,1,-49245,558573,-1234337,25800481,123848,-105144
1615674584.900232674,1,1,-49624,517614,-1232985,25801950,123596,-87316
1615674585.903756661,1,1,-48897,588244,-1233968,25801705,123943,-29981
1615674586.907298410,1,1,-45513,767957,-1232002,25802807,127629,143338
1615674587.910828430,1,1,-49972,652495,-1232740,25801583,122683,7670
1615674588.914396390,1,1,-51301,395861,-1234091,25800604,121328,-241495
1615674589.917893407,1,1,-47822,548723,-1233108,25802440,124573,-53867
1615674590.921427029,1,1,-46588,833504,-1232125,25804398,128007,247064
1615674591.924952303,1,1,-48517,678311,-1232125,25801460,126148,30366
1615674592.928478733,1,1,-49719,396842,-1233477,25800604,124793,-280407
1615674593.932017883,1,1,-55539,50334,-1235074,25801093,121422,-510309
1615674594.935551209,1,1,-45671,683446,-1231757,25802929,126306,99347
1615674595.939086408,1,1,-47885,722476,-1232248,25802562,126589,82465
1615674596.942606929,1,1,-49213,635091,-1231511,25802440,126148,-12013
1615674597.946129682,1,1,-49624,473957,-1233477,25801338,124163,-142462
1615674598.949674647,1,1,-50383,553700,-1233354,25803908,125802,-50925
1615674599.953213088,1,1,-46525,816661,-1231265,25803419,127377,212267
1615674600.956755440,1,1,-47474,662380,-1232740,25802195,126715,14990
1615674601.960285185,1,1,-50004,378598,-1234337,25800481,122367,-283314
1615674602.963815790,1,1,-46556,544044,-1232248,25803419,126999,-59401
1615674603.967343535,1,1,-46715,806251,-1229668,25805622,130212,239096
1615674604.970884146,1,1,-47758,630430,-1232248,25801828,122084,27389
1615674605.974409904,1,1,-46335,584108,-1232371,25802440,125424,-71905
1615674606.977943293,1,1,-47663,501333,-1232863,25802440,121926,-106947
1615674607.981478385,1,1,-47822,555506,-1232002,25802807,127660,-48211
1615674608.985011692,1,1,-47885,817573,-1231142,25804031,129488,209360
1615674609.988540466,1,1,-47695,664781,-1231511,25803541,125424,18107
1615674610.992083548,1,1,-50795,374409,-1233477,25801828,124510,-290424
1615674611.995602538,1,1,-47315,540433,-1231879,25803908,128795,-60032
1615674612.999136784,1,1,-46588,742964,-1231019,25804765,128984,170237
1615674614.002676892,1,1,-46746,718270,-1230774,25803296,127062,77527
1615674615.006199761,1,1,-45829,639596,-1231879,25802562,126810,-7372
1615674616.009744554,1,1,-48834,443935,-1232740,25799012,110805,-1378904
1615674617.013268147,1,1,-49087,549003,-1231142,25802684,126904,-54918
1615674618.016809441,1,1,-44026,829087,-1230896,25804153,130244,236451
1615674619.020347500,1,1,-46999,674823,-1230282,25802684,124510,27424
1615674620.023869147,1,1,-51649,401855,-1232125,25801828,123659,-275224
1615674621.027405700,1,1,-51680,532441,-1231634,25804031,125298,-70207
1615674622.030930161,1,1,-47505,603878,-1232125,25803419,125171,9123
1615674623.034470749,1,1,-47252,762523,-1229791,25803541,127408,132726
1615674624.037999992,1,1,-47695,653879,-1230036,25804398,126400,8055
1615674625.041533288,1,1,-49909,387028,-1231879,25802195,124037,-261792
1615674626.045063769,1,1,-49055,547058,-1231757,25803908,125140,-56057
1615674627.048596529,1,1,-49245,751640,-1228807,25802072,110175,-1761006
1615674628.052128038,1,1,-45702,703180,-1230896,25803786,126180,56442
1615674629.055670391,1,1,-49150,618740,-1231142,25803052,126589,-30559
1615674630.059195026,1,1,-49688,462477,-1231634,25801950,126022,-156035
1615674631.062732714,1,1,-46809,551948,-1231265,25802929,124888,-50890
1615674632.066275322,1,1,-46335,831874,-1228562,25805622,129834,243561
1615674633.069800264,1,1,-46240,681746,-1230651,25802929,128480,33921
1615674634.073327815,1,1,-49435,502840,-1231511,25802072,125392,-164983
1615674635.076889235,1,1,-52060,511936,-1231879,25804031,127566,-93515
1615674636.080395786,1,1,-48834,554927,-1230282,25804153,127471,-48894
1615674637.083926411,1,1,-47252,824601,-1229053,25805377,127723,226644
1615674638.087466411,1,1,-43267,901312,-1228930,25804031,128322,29578
1615674639.090988743,1,1,-53103,410618,-1231634,25801828,124352,-267763
1615674640.094533422,1,1,-49245,525413,-1230651,25803052,126274,-76791
1615674641.098057471,1,1,-48043,570192,-1230896,25803052,128070,-31837
1615674642.101584576,1,1,-48359,795192,-1229299,25804398,128354,181603
1615674643.105120763,1,1,-44722,660802,-1230036,25803174,124856,14395
1615674644.108659239,1,1,-51269,374181,-1232248,25802807,126936,-293279
1615674645.112190343,1,1,-50415,538803,-1230896,25802562,123659,-62343
1615674646.115723968,1,1,-48865,628537,-1230282,25804643,126967,39315
1615674647.119254088,1,1,-47790,766221,-1229422,25804643,127188,139013
1615674648.122783957,1,1,-45291,655194,-1228193,25803786,124132,9018
1615674649.126324330,1,1,-54875,-90276,-1232985,25801950,118965,-751857
1615674650.129856113,1,1,-46873,537611,-1230651,25804398,123691,-62676
1615674651.133387018,1,1,-48612,686320,-1229545,25805255,127849,107175
1615674652.136925202,1,1,-45449,743981,-1229176,25804153,127314,111588
1615674653.140451170,1,1,-48169,651023,-1229422,25803419,128165,5884
1615674654.143982876,1,1,-47916,381735,-1231265,25802195,123848,-267080
1615674655.147512483,1,1,-50004,543430,-1229913,25804031,126400,-58053
1615674656.151047459,1,1,-46019,787621,-1228439,25805989,129614,220147
1615674657.154570311,1,1,-46588,714747,-1228685,25804398,125928,74532
1615674658.158112059,1,1,-49435,641559,-1229299,25803786,129362,-4675
1615674659.161649022,1,1,-49814,420099,-1230036,25802929,125014,-209342
1615674660.165188447,1,1,-51522,476218,-1229545,25802929,128038,-142165
1615674661.168709915,1,1,-45576,832382,-1226964,25805989,127566,257659
1615674662.172258953,1,1,-47410,688651,-1229176,25804643,125581,42940
1615674663.175790830,1,1,-49087,566757,-1228807,25804031,125644,-90713
1615674664.179312393,1,1,-48169,494480,-1230282,25803541,124510,-112446
1615674665.182845166,1,1,-46556,552246,-1229791,25804520,125108,-49700
1615674666.186386512,1,1,-45734,825775,-1227456,25806479,128228,225278
1615674667.189908949,1,1,-46303,668584,-1228562,25803786,126778,21207
1615674668.193444193,1,1,-48960,379036,-1231511,25802929,122998,-293191
1615674669.196975504,1,1,-49118,533598,-1229053,25804520,127692,-66126
1615674670.200517420,1,1,-47474,675366,-1228562,25805010,127944,94934
1615674671.204045846,1,1,-44437,747854,-1228685,25804765,128921,90748
1615674672.207584266,1,1,-49308,646185,-1228562,25804153,123754,700
1615674673.211101092,1,1,-49814,425848,-1230651,25803786,124132,-203370
1615674674.214642512,1,1,-48328,547812,-1229053,25805132,125455,-53325
1615674675.218171613,1,1,-46493,830875,-1226350,25806234,128228,243982
1615674676.221704276,1,1,-45797,674735,-1228807,25803786,127912,28947
1615674677.225233427,1,1,-49498,394178,-1230159,25802562,124888,-281265
1615674678.228769962,1,1,-48486,531460,-1228439,25803786,125707,-67037
1615674679.232330404,1,1,-45418,643311,-1227579,25805377,125865,55304
1615674680.235846108,1,1,-45165,739547,-1226596,25805132,126337,105371
1615674681.239375549,1,1,-48676,647675,-1227824,25803786,126337,4220
1615674682.242910447,1,1,-48707,417979,-1228316,25803541,122588,-180867
1615674683.246434517,1,1,-45797,546550,-1228193,25805132,125108,-53605
1615674684.249973980,1,1,-44501,832049,-1226596,25807213,129047,249796
1615674685.253498710,1,1,-45260,677014,-1228070,25802929,126526,31644
1615674686.257032464,1,1,-47062,432367,-1229545,25803541,125171,-242423
1615674687.260559786,1,1,-48992,527324,-1227210,25804398,128038,-73937
1615674688.264102304,1,1,-48138,585773,-1226964,25805010,125676,-11085
1615674689.267632891,1,1,-46303,764889,-1227087,25804765,128165,138557
1615674690.271175308,1,1,-48865,651969,-1227824,25805377,124384,7390
1615674691.274698809,1,1,-50668,386624,-1230036,25804031,123911,-257991
1615674692.278225109,1,1,-50383,383417,-1227702,25805377,122651,-120922
1615674693.281761577,1,1,-44817,854693,-1225121,25806724,127156,287938
1615674694.285303449,1,1,-47632,688318,-1226964,25804153,127566,43010
1615674695.288831267,1,1,-48517,538593,-1228562,25804276,125550,-121413
1615674696.292344231,1,1,-50921,512777,-1227702,25804888,124762,-91484
1615674697.295893911,1,1,-48644,554892,-1227824,25804888,125455,-45707
1615674698.299425628,1,1,-46778,803990,-1226473,25807213,129708,194194
1615674699.302957859,1,1,-48169,660066,-1226841,25805867,125739,14027
1615674700.306495311,1,1,-52756,373007,-1229668,25803786,124762,-284260
1615674701.310026069,1,1,-48581,540871,-1227702,25806112,123628,-58788
1615674702.313560295,1,1,-48707,806111,-1226596,25808682,128228,240584
1615674703.317090541,1,1,-51332,387781,-1226964,25804643,124541,-53552
1615674704.320629832,1,1,-48707,458884,-1228316,25803541,125770,-173634
1615674705.324155135,1,1,-49624,515318,-1227210,25804276,125298,-90048
1615674706.327689206,1,1,-48011,564637,-1227824,25805622,124321,-35672
1615674707.331317588,1,1,-45829,770901,-1226104,25805744,127849,147226
1615674708.334749680,1,1,-46588,650620,-1226596,25803541,125424,6497
1615674709.338289537,1,1,-51269,397964,-1227456,25802807,125298,-240269
1615674710.341819416,1,1,-48106,546725,-1227333,25804888,125739,-53885
1615674711.345348793,1,1,-47157,832365,-1225490,25807703,128291,251092
1615674712.348881100,1,1,-48328,675016,-1226350,25805132,125266,31802
1615674713.352415804,1,1,-50763,401171,-1229053,25804031,124667,-273577
1615674714.355951235,1,1,-48138,559799,-1225981,25805010,127566,-69383
1615674715.359490582,1,1,-52597,327930,-1227333,25805989,122998,-212144
1615674716.363014395,1,1,-46493,732606,-1226104,25806234,126936,98962
1615674717.366526396,1,1,-47853,644538,-1226719,25806112,126432,1978
1615674718.370079204,1,1,-53325,430983,-1226964,25804765,124730,-194877
1615674719.373617875,1,1,-49245,549266,-1227579,25804888,127188,-51538
1615674720.377143360,1,1,-47410,827475,-1224752,25807336,128385,237590
1615674721.380679039,1,1,-50067,668584,-1227333,25805622,127408,23536
1615674722.384210318,1,1,-50320,376459,-1229053,25805377,124825,-295223
1615674723.387728731,1,1,-48359,536209,-1226596,25805010,123974,-63044
1615674724.391281337,1,1,-47790,714204,-1224998,25806846,127125,141167
1615674725.394841721,1,1,-63636,-849540,-1232371,25806234,128543,83288
1615674726.398346632,1,1,-48739,494234,-1226473,25804398,125171,-137927
1615674727.401878710,1,1,-47632,467437,-1226350,25804888,127188,-144652
1615674728.405405648,1,1,-48201,547882,-1225981,25805989,127818,-52712
1615674729.408948076,1,1,-45355,818782,-1224261,25808560,128102,217993
1615674730.412476618,1,1,-48770,662309,-1225490,25805989,128038,17494
1615674731.416004062,1,1,-52756,372148,-1227702,25803908,125045,-289549
1615674732.419541902,1,1,-49340,537822,-1226719,25806112,127723,-60154
1615674733.423072113,1,1,-46525,794614,-1224875,25807336,127818,230042
1615674734.426611607,1,1,-48328,697256,-1225367,25805622,128448,55776
1615674735.430137247,1,1,-48770,564865,-1226473,25805989,126400,-90030
1615674736.433671863,1,1,-64110,-1225159,-1231634,25805255,123124,-126106
1615674737.437204545,1,1,-50573,535719,-1225735,25805989,125644,-70066
1615674738.440739327,1,1,-45386,766572,-1225244,25807091,127629,143881
1615674739.444275151,1,1,-48612,648920,-1224875,25805867,125739,6462
1615674740.447806303,1,1,-49941,402889,-1227824,25804520,124069,-229656
1615674741.451348771,1,1,-49118,554822,-1226104,25806234,125361,-47300
1615674742.454864644,1,1,-45133,826423,-1223032,25807213,129047,239674
1615674743.458395510,1,1,-48929,667637,-1224998,25806479,126967,24464
1615674744.461932060,1,1,-51269,374216,-1226227,25804398,124888,-294942
1615674745.465466223,1,1,-50984,538803,-1224507,25805255,127408,-61328
1615674746.468996414,1,1,-47505,783677,-1222663,25807458,129456,218449
1615674747.472534325,1,1,-40326,1442938,-1222295,25806846,133205,790910
1615674748.476064653,1,1,-46683,552403,-1225490,25805867,123533,-107630
1615674749.479602726,1,1,-50099,511971,-1225121,25806234,125833,-90959
1615674750.483136399,1,1,-47980,560501,-1224875,25806724,127629,-39980
1615674751.486677628,1,1,-46620,780891,-1224261,25807580,128322,163600
1615674752.490204457,1,1,-48138,653546,-1224998,25806234,128259,9561
1615674753.493726930,1,1,-49340,382138,-1227210,25806479,125392,-261634
1615674754.497264862,1,1,-47632,543167,-1224752,25806356,127093,-55023
1615674755.500795221,1,1,-44690,831681,-1222295,25808070,128952,255960
1615674756.504327707,1,1,-47442,676435,-1224630,25806601,123880,32345
1615674757.507859096,1,1,-51174,399979,-1226596,25804765,123470,-272807
1615674758.511391370,1,1,-55159,-57222,-1226104,25806724,123187,-380613
1615674759.514935194,1,1,-50383,669267,-1224384,25806479,126180,84111
1615674760.518459431,1,1,-45355,721179,-1223646,25807458,126558,84549
1615674761.521994680,1,1,-46904,633812,-1224875,25807091,125959,-9596
1615674762.525526194,1,1,-49403,463091,-1224384,25806234,124132,-150308
1615674763.529052002,1,1,-48138,549389,-1224507,25806846,126369,-51223
1615674764.532586720,1,1,-46746,821288,-1223524,25807703,127849,225524
1615674765.536121739,1,1,-49055,665850,-1224752,25805867,127629,20752
1615674766.539662891,1,1,-52281,371832,-1225981,25804765,121233,-295871
1615674767.543186360,1,1,-48359,535035,-1224507,25806724,127219,-62711
1615674768.546720469,1,1,-46462,692332,-1223646,25810028,127566,116719
1615674769.550262968,1,1,-46809,655317,-1223278,25807825,127030,66371
1615674770.553791630,1,1,-47252,639683,-1224630,25807213,127471,-5831
1615674771.557327933,1,1,-49213,406709,-1224875,25804765,124321,-224070
1615674772.560848397,1,1,-47474,545340,-1224384,25807091,123817,-53517
1615674773.564385268,1,1,-47062,832628,-1222909,25809906,126967,258815
1615674774.567925647,1,1,-46746,683569,-1224138,25806601,124919,40278
1615674775.571462858,1,1,-51143,508045,-1225244,25806356,124541,-153355
1615674776.574986797,1,1,-48802,513233,-1224875,25806479,125171,-87736
1615674777.578511880,1,1,-49846,551808,-1223892,25807091,124510,-46985
1615674778.582054321,1,1,-45576,803464,-1223155,25808804,128196,195910
1615674779.585586814,1,1,-45196,658646,-1222541,25807213,127377,14482
1615674780.589128098,1,1,-49593,331943,-1225490,25805867,123029,-309600
1615674781.592656599,1,1,-49529,531355,-1223892,25807825,126589,-68630
1615674782.596183684,1,1,-49371,682184,-1223155,25809049,128732,104426
1615674783.599707907,1,1,-47948,735586,-1223032,25807213,129551,104145
1615674784.603249141,1,1,-48739,643890,-1223646,25806846,126274,3222
1615674785.606778136,1,1,-50130,384293,-1224752,25805500,125487,-256660
1615674786.610311187,1,1,-46968,548039,-1223769,25806724,123659,-51713
1615674787.613850030,1,1,-45734,809020,-1221312,25809661,129960,246241
1615674788.617378333,1,1,-44248,702023,-1222295,25807213,128732,59734
1615674789.620912390,1,1,-46462,614200,-1223278,25807458,126117,-30261
1615674790.624444989,1,1,-50795,465474,-1224752,25806724,125896,-146403
1615674791.627978653,1,1,-47916,585703,-1223032,25807948,124604,-58403
1615674792.631512186,1,1,-44501,820412,-1222049,25809049,130653,227205
1615674793.635072467,1,1,-47031,666761,-1223155,25807213,127975,23904
1615674794.638577231,1,1,-51111,377493,-1223892,25805867,125077,-294435
1615674795.642111834,1,1,-48834,531214,-1223032,25807336,123880,-65163
1615674796.645641312,1,1,-47663,724334,-1221435,25808437,127975,153268
1615674797.649175411,1,1,-46809,709402,-1222418,25807091,128700,70925
1615674798.652708009,1,1,-47663,600565,-1223769,25806601,128700,-45532
1615674799.656243400,1,1,-50194,502174,-1222786,25808560,123187,-99330
1615674800.659767349,1,1,-47885,556592,-1222663,25807825,124919,-39560
1615674801.663293205,1,1,-44564,759544,-1222049,25807458,128732,140449
1615674802.666838169,1,1,-41591,1254217,-1219714,25808437,131851,467054
1615674803.670367557,1,1,-51396,424638,-1223155,25807091,124604,-198187
1615674804.673909757,1,1,-48359,547146,-1222418,25807580,126495,-50995
1615674805.677438809,1,1,-47569,812928,-1220820,25808927,128826,213440
1615674806.680978181,1,1,-46525,652232,-1222663,25808070,125770,10980
1615674807.684502278,1,1,-47537,378159,-1224384,25806234,123691,-264173
1615674808.688026270,1,1,-47157,542992,-1222295,25807825,123785,-53885
1615674809.691573810,1,1,-44089,826984,-1219960,25809661,128133,246801
1615674810.695103447,1,1,-48201,666007,-1222295,25808682,126558,24552
1615674811.698649176,1,1,-49719,374409,-1223278,25805010,123974,-293121
1615674812.702157378,1,1,-50257,535911,-1221680,25808927,126999,-60172
1615674813.705696826,1,1,-47569,606612,-1220820,25811007,127125,62781
1615674814.709223808,1,1,-48581,683569,-1221926,25809416,127849,41364
1615674815.712763681,1,1,-48707,480477,-1222663,25805622,125140,-185841
1615674816.716291062,1,1,-46999,522206,-1222049,25808315,125644,-75320
1615674817.719830617,1,1,-45987,627625,-1221558,25809049,127093,39420
1615674818.723362821,1,1,-45228,724544,-1220943,25808437,126337,92535
1615674819.726907010,1,1,-49593,630377,-1221803,25808437,126117,-12556
1615674820.730431521,1,1,-50478,483736,-1222909,25807336,127125,-121693
1615674821.733960527,1,1,-48676,552281,-1222541,25808682,127566,-45514
1615674822.737500691,1,1,-48676,785605,-1220083,25809783,126967,172321
1615674823.741012159,1,1,-46873,650059,-1222663,25807825,127251,8230
1615674824.744556988,1,1,-49656,350188,-1223278,25799135,86735,-3965724
1615674825.748090920,1,1,-51522,542729,-1222172,25809049,126085,-56074
1615674826.751595458,1,1,-46525,825442,-1219960,25809049,129929,238202
1615674827.755163147,1,1,-51332,665289,-1221189,25808682,126337,23238
1615674828.758684979,1,1,-50225,371675,-1223032,25806601,122966,-293787
1615674829.762220860,1,1,-48707,534807,-1222049,25809783,126495,-60785
1615674830.765750064,1,1,-46525,769797,-1220574,25810273,126967,207626
1615674831.769282710,1,1,-48169,700919,-1220574,25808804,127156,61555
1615674832.772823686,1,1,-49941,597235,-1220206,25808315,125518,-49559
1615674833.776350021,1,1,-51554,492061,-1222172,25807825,129047,-112656
1615674834.779885487,1,1,-50953,550949,-1221558,25808192,126432,-47966
1615674835.783424610,1,1,-48897,750693,-1219223,25809906,123722,-291265
1615674836.786952403,1,1,-48897,658016,-1222049,25808682,125802,14815
1615674837.790487181,1,1,-50099,372060,-1222295,25806601,123880,-293997
1615674838.794032190,1,1,-50953,532529,-1221189,25808070,125487,-64077
1615674839.797560721,1,1,-47663,665622,-1219837,25811619,127062,88122
1615674840.801085514,1,1,-44501,741457,-1219837,25808927,129803,111938
1615674841.804613131,1,1,-45608,647623,-1221435,25808560,126621,6724
1615674842.808156655,1,1,-51427,378562,-1222909,25808192,122304,-265329
1615674843.811687966,1,1,-46873,538400,-1220574,25809539,123722,-57545
1615674844.815194982,1,1,-42982,769183,-1219223,25811007,129677,205770
1615674845.818742628,1,1,-47632,719585,-1219100,25809539,127629,84584
1615674846.822287143,1,1,-32419,2256182,-1215045,25810273,132323,719494
1615674847.825812634,1,1,-50953,379474,-1222295,25807703,121674,-261844
1615674848.829342541,1,1,-49150,537331,-1219591,25809539,124951,-58841
1615674849.832880441,1,1,-46462,724369,-1219591,25810518,128448,154266
1615674850.836417065,1,1,-48517,742561,-1218363,25809906,129771,114863
1615674851.839951142,1,1,-48138,653021,-1219837,25809172,126589,10174
1615674852.843477334,1,1,-52724,369239,-1221803,25806479,123785,-293401
1615674853.847010839,1,1,-47410,526693,-1220574,25809049,126211,-69383
1615674854.850539975,1,1,-48296,560991,-1219837,25809294,125392,-34867
1615674855.854092877,1,1,-47315,814558,-1218977,25811007,128228,216872
1615674856.857607962,1,1,-46809,669232,-1219960,25809294,127503,28772
1615674857.861144903,1,1,-55792,-145553,-1222909,25806356,118618,-726885
1615674858.864667213,1,1,-50510,480196,-1220452,25809661,123470,-127314
1615674859.868213756,1,1,-50099,539171,-1220574,25810273,125518,-56757
1615674860.871740497,1,1,-45639,825249,-1217134,25812599,129425,261109
1615674861.875298983,1,1,-47600,708806,-1219223,25810273,127030,72133
1615674862.878804264,1,1,-48233,640507,-1219591,25810273,126463,2679
1615674863.882329783,1,1,-52503,377003,-1221435,25807703,123470,-269900
1615674864.885867329,1,1,-49719,535508,-1219837,25809539,126180,-60505
1615674865.889404786,1,1,-45449,620475,-1219960,25810640,126558,34762
1615674866.892933497,1,1,-45702,783502,-1217994,25810640,129015,168083
1615674867.896468619,1,1,-47157,659435,-1219591,25809172,128385,19018
1615674868.899995553,1,1,-50605,132164,-1221680,25808560,122147,-544161
1615674869.903535979,1,1,-47189,512479,-1218977,25809661,127062,-85722
1615674870.907070532,1,1,-46683,546585,-1218977,25809661,127944,-50190
1615674871.910605034,1,1,-45639,825898,-1218117,25812109,124919,244069
1615674872.914133978,1,1,-48676,682850,-1218608,25810640,126400,42905
1615674873.917665708,1,1,-45955,610678,-1220083,25809416,126243,-30191
1615674874.921199236,1,1,-49529,412353,-1220083,25808315,123187,-213738
1615674875.924731114,1,1,-48865,541397,-1218977,25808927,128417,-56372
1615674876.928258989,1,1,-46904,745225,-1216151,25811987,129771,181147
1615674877.931797236,1,1,-48359,740966,-1218363,25810518,126967,113339
1615674878.935326644,1,1,-47315,651391,-1218363,25810518,128480,10717
1615674879.938867696,1,1,-52155,336517,-1220329,25806968,124730,-340545
1615674880.942395848,1,1,-49719,528042,-1219346,25809294,127377,-68560
1615674881.945927352,1,1,-48201,578833,-1219223,25810885,126936,-14692
1615674882.949453617,1,1,-47315,791915,-1217134,25810151,127912,183529
1615674883.952996420,1,1,-48169,657998,-1217748,25810518,126369,17372
1615674884.956535071,1,1,-50573,375601,-1221189,25806846,124888,-294014
1615674885.960058635,1,1,-49308,524572,-1217134,25810151,126274,-70784
1615674886.963587818,1,1,-47031,568720,-1218977,25810763,124258,-24797
1615674887.967119452,1,1,-46430,794947,-1217134,25811375,129551,186909
1615674888.970647802,1,1,-47916,657472,-1219223,25809783,126211,17459
1615674889.974193891,1,1,-50036,373743,-1219591,25808927,123281,-293121
1615674890.977730065,1,1,-47916,532213,-1218731,25811007,125676,-75127
1615674891.981256600,1,1,-50162,567301,-1218977,25810273,128291,-27074
1615674892.984789242,1,1,-46904,792213,-1217748,25811130,130622,185438
1615674893.988324948,1,1,-46873,657069,-1217502,25810273,127314,17197
1615674894.991852572,1,1,-49561,374567,-1220083,25808192,123565,-293506
1615674895.995394224,1,1,-50573,523818,-1217625,25811007,126904,-71783
1615674896.998913092,1,1,-47569,569158,-1217625,25811375,125802,-25462
1615674898.002455159,1,1,-45291,794105,-1216274,25810518,129110,185806
1615674899.005986568,1,1,-47980,656649,-1216642,25810640,127125,16076
1615674900.009521183,1,1,-52503,370781,-1219960,25809049,122746,-294084
1615674901.013052788,1,1,-48422,526745,-1219223,25810763,126967,-65758
1615674902.016596202,1,1,-48169,564181,-1217134,25810885,128102,18037
1615674903.020118327,1,1,-48422,763820,-1216765,25811375,129078,144652
1615674904.023633399,1,1,-47474,648446,-1217502,25811252,127188,8983
1615674905.027180497,1,1,-47474,369484,-1219837,25807703,125203,-282666
1615674906.030715804,1,1,-48549,532862,-1217502,25810273,124919,-59804
1615674907.034238887,1,1,-47126,701883,-1217134,25812109,127534,131114
1615674908.037790829,1,1,-45228,730644,-1216519,25809539,126999,100380
1615674909.041323705,1,1,-46525,645029,-1217257,25810028,127030,7039
1615674910.044843979,1,1,-50194,377353,-1219223,25808804,125770,-263735
1615674911.048378973,1,1,-50731,537156,-1217871,25810885,125487,-58176
1615674912.051908001,1,1,-40832,1326460,-1213939,25814435,132764,670285
1615674913.055442837,1,1,-46208,740441,-1216519,25811007,125392,108541
1615674914.058978096,1,1,-48517,641348,-1217134,25811007,127944,1856
1615674915.062507523,1,1,-50383,382804,-1218363,25809172,122683,-254454
1615674916.066045223,1,1,-47727,537016,-1215782,25810518,124951,-57703
1615674917.069570487,1,1,-48581,804376,-1214799,25813211,130338,243964
1615674918.073105085,1,1,-48201,699622,-1216642,25812354,124163,63972
1615674919.076635346,1,1,-50795,621579,-1215905,25811130,126999,-19228
1615674920.080177180,1,1,-50542,447808,-1218608,25810763,125644,-166437
1615674921.083704729,1,1,-47062,542641,-1215905,25811130,126022,-52414
1615674922.087237153,1,1,-48422,823637,-1215659,25812721,130779,243701
1615674923.090766425,1,1,-49751,492692,-1217502,25811007,126400,-37599
1615674924.094305304,1,1,-60346,-693506,-1222172,25808437,117358,-1089776
1615674925.097838198,1,1,-48707,517159,-1216519,25810518,127093,-78297
1615674926.101372141,1,1,-48233,566547,-1215782,25811619,127408,-27144
1615674927.104896731,1,1,-45038,781872,-1215659,25812966,130055,166472
1615674928.108445938,1,1,-47916,650304,-1215782,25810885,127156,10770
1615674929.111958410,1,1,-51743,372411,-1217502,25810151,123344,-278656
1615674930.115502791,1,1,-48011,535245,-1216397,25811497,124762,-58491
1615674931.119033967,1,1,-46588,751412,-1214308,25813211,127912,189273
1615674932.122570214,1,1,-45418,711891,-1216274,25811007,125424,79225
1615674933.126093933,1,1,-44627,638071,-1215291,25811375,128038,402
1615674934.129633412,1,1,-103867,-5003866,-1234337,25809783,125329,-216750
1615674935.133177775,1,1,-53546,368993,-1216151,25811987,123407,-214596
1615674936.136694799,1,1,-44279,827300,-1214062,25813578,128795,255032
1615674937.140223298,1,1,-47727,675962,-1214922,25811987,126589,37704
1615674938.143762264,1,1,-49403,513811,-1216397,25810028,124226,-143023
1615674939.147291666,1,1,-50194,503541,-1214922,25811497,123565,-93183
1615674940.150827367,1,1,-46968,548951,-1216274,25811864,125613,-47668
1615674941.154357569,1,1,-46651,813857,-1213570,25812966,128511,217135
1615674942.157885112,1,1,-50573,658664,-1215045,25811742,125959,19806
1615674943.161425329,1,1,-49972,378598,-1217134,25808560,125045,-290267
1615674944.164959984,1,1,-48992,527446,-1215659,25812599,127093,-66897
1615674945.168492610,1,1,-57215,-236251,-1216888,25812354,127314,28930
1615674946.172026014,1,1,-47347,675594,-1214676,25811007,127471,53710
1615674947.175566126,1,1,-48707,645975,-1214430,25812231,126747,6987
1615674948.179090348,1,1,-51870,371745,-1216765,25809661,125234,-275714
1615674949.182640368,1,1,-50636,535561,-1215782,25812109,123911,-59366
1615674950.186156381,1,1,-46778,726735,-1213816,25813578,130559,160973
1615674951.189676111,1,1,-47094,724650,-1215168,25812966,126778,94198
1615674952.193217551,1,1,-47885,640034,-1214430,25811130,126180,3309
1615674953.196758207,1,1,-52250,379334,-1216519,25809661,122777,-256888
1615674954.200294004,1,1,-48422,537314,-1215659,25812599,124699,-56547
1615674955.203825382,1,1,-47537,778718,-1213447,25813578,131189,220252
1615674956.207352260,1,1,-56171,-51403,-1217134,25812109,127755,86160
1615674957.210891007,1,1,-48233,618775,-1214430,25811987,125896,-25497
1615674958.214418958,1,1,-50415,389481,-1216397,25810885,125455,-242020
1615674959.217949089,1,1,-50194,537261,-1214676,25812599,126306,-56634
1615674960.221490696,1,1,-48422,805252,-1212710,25814435,127944,247274
1615674961.225022704,1,1,-45987,705388,-1214922,25813333,128228,71222
1615674962.228556440,1,1,-49751,638754,-1214185,25812354,126243,840
1615674963.232085130,1,1,-51490,390901,-1215905,25811130,121454,-239411
1615674964.235613662,1,1,-48359,537296,-1213447,25812721,125739,-56494
1615674965.239152741,1,1,-46809,799819,-1212956,25813333,129362,241320
1615674966.242679309,1,1,-47126,705651,-1214308,25812599,127975,71835
1615674967.246216002,1,1,-40357,1371940,-1211850,25812966,133615,645260
1615674968.249741688,1,1,-52376,394757,-1215659,25810885,123974,-234087
1615674969.253256781,1,1,-49846,539767,-1213816,25811742,125739,-54708
1615674970.256819229,1,1,-45734,824548,-1212096,25814435,131000,262159
1615674971.260337014,1,1,-45228,686425,-1213816,25812109,126684,51048
